 ,Min,Max,X,Y,IntDen,RawIntDen,Image Number,Image Name
1,174,232,19.807,0.070,10.187,1009,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
2,26,43,8.760,3.299,2.019,200,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
3,99,160,22.144,3.552,8.642,856,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
4,174,273,10.714,3.902,20.021,1983,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
5,76,125,7.647,4.953,4.776,473,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
6,79,122,2.027,8.155,5.644,559,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
7,151,263,1.201,8.565,41.435,4104,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
8,23,67,5.306,8.731,4.836,479,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
9,40,63,21.438,14.283,3.201,317,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
10,475,644,10.755,16.056,106.345,10533,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
11,30,30,24.101,21.082,0.909,90,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
12,234,343,17.845,22.842,38.740,3837,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
13,31,48,8.721,24.536,2.827,280,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
14,31,52,9.459,24.527,3.604,357,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
15,85,129,10.568,24.944,9.763,967,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
16,255,371,11.603,25.309,83.890,8309,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
17,59,84,1.524,25.452,4.311,427,1,MAX_GluSnFR3_SyPhy_dish06_plate01_region01_0pt5Ca_zstack_lowpwr_.tif
