 ,X,Y,XM,YM,Image Name
1,45.500,9.000,45.500,9.000,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
2,82.500,30.000,82.500,30.000,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
3,222.500,35.611,222.500,35.611,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
4,224.532,52.234,224.532,52.234,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
5,209.657,49.049,209.657,49.049,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
6,143.554,72.733,143.554,72.733,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
7,214.692,117.500,214.692,117.500,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
8,168.460,121.532,168.460,121.532,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
9,216.724,133.707,216.724,133.707,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
10,12.590,134.843,12.590,134.843,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
11,33.500,137.000,33.500,137.000,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
12,214.500,149.372,214.500,149.372,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
13,44.056,161.975,44.056,161.975,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
14,151.000,158.000,151.000,158.000,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
15,95.494,186.010,95.477,186.016,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
16,120.296,189.571,120.296,189.571,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
17,134.049,194.990,134.049,194.990,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
18,7.000,193.500,7.000,193.500,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
19,77.020,209.687,77.020,209.687,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
20,122.000,212.500,122.000,212.500,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
21,15.500,221.407,15.500,221.407,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
22,58.946,223.006,58.946,223.006,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
23,162.000,231.500,162.000,231.500,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
24,240.500,233.372,240.500,233.372,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
25,196.545,240.067,196.545,240.067,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
26,17.923,242.410,17.923,242.410,GluSnFR3_JF646_4Ca_cis_dish7_plate10_region04_ctrl_repl01_-1_maxFiltered.tiff
